dsd: 609 train / 12 val
step 87600 l1 0.2818 val 0.3212 0.09s/it
step 87800 l1 0.2846 val 0.3175 0.09s/it
step 88000 l1 0.2914 val 0.3190 0.09s/it
step 88200 l1 0.2873 val 0.3169 0.09s/it
step 88400 l1 0.2807 val 0.2881 0.09s/it
step 88600 l1 0.2840 val 0.3209 0.09s/it
step 88800 l1 0.2843 val 0.3219 0.09s/it
step 89000 l1 0.2850 val 0.4211 0.09s/it
step 89200 l1 0.2882 val 0.3431 0.09s/it
step 89400 l1 0.2931 val 0.3459 0.09s/it
step 89600 l1 0.2807 val 0.3168 0.09s/it
step 89800 l1 0.2856 val 0.3215 0.09s/it
step 90000 l1 0.2771 val 0.3131 0.09s/it
step 90200 l1 0.2753 val 0.3144 0.09s/it
step 90400 l1 0.2871 val 0.3880 0.09s/it
step 90600 l1 0.2786 val 0.2921 0.09s/it
step 90800 l1 0.2800 val 0.3439 0.09s/it
step 91000 l1 0.2697 val 0.2873 0.09s/it
step 91200 l1 0.2875 val 0.3466 0.09s/it
step 91400 l1 0.2667 val 0.2903 0.09s/it
step 91600 l1 0.2831 val 0.3154 0.09s/it
step 91800 l1 0.2827 val 0.2897 0.09s/it
step 92000 l1 0.2862 val 0.3444 0.09s/it
step 92200 l1 0.2830 val 0.3460 0.09s/it
step 92400 l1 0.2918 val 0.3232 0.09s/it
step 92600 l1 0.2832 val 0.3727 0.09s/it
step 92800 l1 0.2866 val 0.2814 0.09s/it
step 93000 l1 0.2838 val 0.3087 0.09s/it
step 93200 l1 0.2858 val 0.3213 0.10s/it
step 93400 l1 0.2836 val 0.3172 0.10s/it
step 93600 l1 0.2866 val 0.3467 0.10s/it
step 93800 l1 0.2863 val 0.3441 0.10s/it
step 94000 l1 0.2831 val 0.3178 0.10s/it
step 94200 l1 0.2708 val 0.3960 0.10s/it
step 94400 l1 0.2780 val 0.3194 0.10s/it
step 94600 l1 0.2690 val 0.3924 0.10s/it
step 94800 l1 0.2831 val 0.3439 0.10s/it
step 95000 l1 0.2856 val 0.3482 0.10s/it
step 95200 l1 0.2911 val 0.3454 0.10s/it
step 95400 l1 0.2802 val 0.3160 0.10s/it
step 95600 l1 0.2859 val 0.3735 0.10s/it
step 95800 l1 0.2696 val 0.3233 0.10s/it
step 96000 l1 0.2825 val 0.3179 0.10s/it
step 96200 l1 0.2829 val 0.2911 0.10s/it
step 96400 l1 0.2812 val 0.3161 0.10s/it
step 96600 l1 0.2704 val 0.2930 0.10s/it
step 96800 l1 0.2784 val 0.3120 0.10s/it
step 97000 l1 0.2919 val 0.2883 0.10s/it
step 97200 l1 0.2679 val 0.3215 0.10s/it
step 97400 l1 0.2736 val 0.3488 0.10s/it
step 97600 l1 0.2888 val 0.4265 0.10s/it
step 97800 l1 0.2767 val 0.3219 0.10s/it
step 98000 l1 0.2777 val 0.3703 0.10s/it
step 98200 l1 0.2778 val 0.3165 0.10s/it
step 98400 l1 0.2770 val 0.3176 0.10s/it
step 98600 l1 0.2657 val 0.2862 0.10s/it
step 98800 l1 0.2733 val 0.3227 0.10s/it
step 99000 l1 0.2856 val 0.2976 0.10s/it
step 99200 l1 0.2795 val 0.3190 0.10s/it
step 99400 l1 0.2779 val 0.3456 0.10s/it
step 99600 l1 0.2845 val 0.3097 0.10s/it
step 99800 l1 0.2805 val 0.3154 0.10s/it
DONE
